id,station_name,Average exit trip duration,station_latitude_x,station_longitude_x,bikes_leaving,bikes_entering,Average enter trip duration
144,Flat 9 at Whittier,2092.74359,42.33420351,-71.08767617,39,38,955.5789474
146,Forest Hills,3337.508108,42.300923,-71.114249,185,183,4612.306011
148,Forsyth St at Huntington Ave,864.079614,42.339202,-71.090511,1658,1683,1081.848485
150,Four Corners - 157 Washington St,1523.55,42.30412793,-71.07929528,20,13,1466.153846
151,Franklin Park - Seaver St at Humboldt Ave,1187.925,42.309796,-71.092225,40,20,1519.05
152,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,1366.933333,42.303469,-71.085347,15,12,2354.0
156,Gallivan Blvd at Adams St,1470.272727,42.28297568,-71.05466698,11,33,956.6969697
157,Geiger Gibson Community Health Center,10012.22222,42.31886468,-71.04536798,90,98,2664.571429
162,Gove St at Orleans St,448.3571429,42.37057753,-71.0355854,42,46,479.1304348
166,Green Street T Stop - Green St at Amory St,1082.373134,42.310579,-71.107341,201,224,957.6339286
167,Grove Hall Library - 41 Geneva Ave,4402.2,42.30791,-71.080952,15,10,3527.2
169,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,888.3189771,42.33741748,-71.10286117,743,740,902.2486486
170,Harrison Ave at Bennet St,728.6666667,42.3494261,-71.0620996,468,481,865.031185
171,Harrison Ave at E. Dedham St,801.0268817,42.339194,-71.06975,372,419,675.5441527
172,Harrison Ave at Mullins Way,764.9756098,42.34521562,-71.06384031,738,704,2256.877841
180,Harvard Stadium: N. Harvard St at Soldiers Field Rd,1188.113946,42.368019,-71.1242,588,599,1160.452421
187,High St at Cypress St,1255.514286,42.32464511,-71.12135231,70,82,1069.621951
188,Honan Library,1021.234727,42.3602737,-71.12852452,311,324,1004.20679
189,Hood Park,986.7741935,42.38004535,-71.07304573,62,57,41198.22807
190,Huntington Ave at Mass Art,1228.679144,42.33658555,-71.09886996,374,418,912.6626794
192,Hyde Park Ave at Walk Hill St,1244.257143,42.29606705,-71.116012,35,15,3683.4
