Time,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,lat,long
2021-05-23 17:27:47+00,bike,Intersection,,BRIGHTON AVE,LINDEN ST,756125.14,2953782.91,42.35273665,-71.13019941
2021-05-24 16:29:17+00,bike,Intersection,,PRENTISS ST,TREMONT ST,766377.05,2946618.9,42.33295016,-71.09239923
2021-05-24 18:08:15+00,bike,Street,YARMOUTH ST,YARMOUTH PL,YARMOUTH PL,770622.86,2951425.33,42.34598821,-71.07672637
2021-05-25 16:37:34+00,bike,Street,BLUE HILL AVE,INTERVALE ST,BRUNSWICK ST,769501.54,2938965.88,42.31182413,-71.08078808
2021-05-26 15:53:32+00,bike,Intersection,,MAGNOLIA ST,DUDLEY ST,772543.61,2941553.38,42.31896705,-71.06968779
2021-05-26 18:09:54+00,bike,Street,WILLIAM J DAY BLVD,WILLIAM T MORRISSEY BLVD,BABE RUTH PARK DR,778131.55,2942877.8,42.32266629,-71.04933841
2021-05-27 15:39:10+00,bike,Street,SOUTH ST,BOWER TER,SAINT JOSEPH ST,760214.97,2937103.5,42.30692475,-71.11531445
2021-05-27 17:10:22+00,bike,Intersection,,CANTERBURY ST,WALK HILL ST,763720.45,2931850.2,42.29245849,-71.10247878
2021-05-27 18:35:20+00,bike,Street,STANIFORD ST,WILLIAM CARDINAL OCONNELL WAY,LONGFELLOW PL,773910.4,2957434.48,42.36250703,-71.06386838
2021-05-27 20:37:20+00,bike,Intersection,,FENNO ST,WALNUT AVE,768508.04,2942953.64,42.32286432,-71.08458415
2021-06-02 13:16:28+00,bike,Other,,,,761386.69,2953555.45,42.35204825,-71.11073818
2021-06-02 16:20:17+00,bike,Street,DUNKELD ST,QUINCY ST,FAYSTON ST,770978.62,2939353.02,42.31294911,-71.0755107
2021-06-03 10:42:45+00,bike,Street,FRONTAGE RD,SOUTHAMPTON ST,RAMP - RT 93 NB TO FRONTAGE RO,774851.1,2946611.17,42.332159,-71.062372
2021-06-03 23:47:34+00,bike,Intersection,,QUINCY ST,WARREN ST,768990.14,2940590.07,42.31637212,-71.08284421
2021-06-04 15:28:06+00,bike,Street,MCBRIDE ST,SOUTH ST,LEE ST,760750.39,2936729.88,42.30599943,-71.11338589
2021-06-07 05:53:31+00,bike,Street,CAMBRIDGE ST,SPICE ST,RAMP,770844.35,2965009.11,42.38348011,-71.07562039
2021-06-07 07:41:22+00,bike,Street,BLUE HILL AVE,FREMONT ST,WOODHAVEN ST,766449.95,2924850.69,42.27322862,-71.09348258
2021-06-08 09:43:14+00,bike,Street,SOLDIERS FIELD RD,WESTERN AVE,TELFORD ST,752401.21,2957289.11,42.36282445,-71.1441582
2021-06-10 12:30:49+00,bike,Intersection,,BREMEN ST,PORTER ST,781887.31,2961103.42,42.37247823,-71.03474514
2021-06-11 09:55:11+00,bike,Intersection,,SEAPORT BLVD,SLEEPER ST,778230.73,2954032.97,42.35313076,-71.04841534
2021-06-11 16:00:17+00,bike,Intersection,,BRAGDON ST,AMORY ST,764239.34,2941693.88,42.31946345,-71.10039053
2021-06-12 02:11:00+00,bike,Street,SUMMER ST,DRY DOCK AVE,THOMAS J. BUTLER FREIGHT CORRI,781241.88,2950378.34,42.34313312,-71.03726125
2021-06-12 12:51:43+00,bike,Street,VFW PKWY,PROVIDENCE HWY,CALEDONIAN AVE,746022.06,2921669.95,42.26473098,-71.16804252
2021-06-12 15:27:39+00,bike,Street,FIRST AVE,SIXTH ST,SEVENTH ST,776549.5,2962096.14,42.3750441,-71.05420838
2021-06-12 16:56:09+00,bike,Street,COMMONWEALTH AVE,CHESTNUT HILL AVE,CHESTNUT HILL DRWY,749616.88,2948602.45,42.33840535,-71.1545143
2021-06-13 14:31:44+00,bike,Street,WASHINGTON ST,BOYLSTON ST,IFFLEY RD,764094.58,2939471.18,42.3132714,-71.10078819
2021-06-16 17:19:13+00,bike,Intersection,,COLUMBIA RD,WASHINGTON ST,769624.22,2936613.26,42.30545103,-71.08057209
2021-06-17 17:56:59+00,bike,Street,WASHINGTON ST,MAPLEWOOD ST,HERON ST,751253.83,2923361.86,42.26917123,-71.14846555
2021-06-18 06:23:02+00,bike,Street,DORCHESTER AVE,LEEDSVILLE ST,ELLET ST,775479.07,2936309.37,42.30455913,-71.05911611
2021-06-19 05:37:21+00,bike,Street,BOYLSTON ST,PARK DR,IPSWICH ST,765593.93,2951107.18,42.34526352,-71.09521023
2021-06-21 16:12:07+00,bike,Street,MADISON PARK CT,SHAWMUT AVE,DEWITT DR,768239.45,2945908.49,42.33080332,-71.08566139
2021-06-21 18:25:02+00,bike,Street,OLD COLONY AVE,COLUMBIA ROAD ROTARY,GENERAL WILLIAM H DEVINE WAY,777063.89,2945158.61,42.32881519,-71.05259496
2021-06-22 13:48:24+00,bike,Street,COMMONWEALTH AVE,BUICK ST,ESSEX ST,760511.46,2953100.03,42.3507931,-71.11398718
2021-06-25 07:20:23+00,bike,Street,FRANKLIN ST,LINCOLN ST,ADAMSON ST,755365.54,2955501.52,42.35746127,-71.13298907
2021-06-25 10:35:19+00,bike,Street,MCBRIDE ST,CALL ST,WASHINGTON ST,761772.68,2936781.91,42.30584701,-71.10971096
2021-06-26 15:26:41+00,bike,Intersection,,SUMMER ST,E FIRST ST,781754.31,2948596.65,42.33816145,-71.03548938
2021-06-27 20:51:47+00,bike,Intersection,,BENNINGTON ST,LEVERETT AVE,792009.27,2967531.43,42.38995905,-70.99714737
2021-07-01 16:16:43+00,bike,Intersection,,COMMONWEALTH AVE,BUICK ST,760034.3,2953249.94,42.35122675,-71.11574638
2021-07-01 19:44:03+00,bike,Street,PERKINS ST,ZAMORA ST,PARKTON RD,760627.24,2942421.64,42.32134342,-71.11369288
2021-07-04 00:53:51+00,bike,Street,MANSFIELD ST,BRADBURY ST,EASTON ST,755632.77,2956076.51,42.3590935,-71.13181734
2021-07-08 18:08:21+00,bike,Intersection,,MARLBOROUGH ST,HEREFORD ST,767913.85,2953111.66,42.35074621,-71.08659926
2021-07-10 16:49:50+00,bike,Street,CHESTNUT HILL AVE,ENGLEWOOD AVE,SUTHERLAND RD,750490.82,2947903.17,42.33647508,-71.15140418
2021-07-10 18:08:56+00,bike,Street,JETTE CT,FIDELIS WAY,FIDELIS WAY,752607.95,2951507.69,42.34642798,-71.14295943
2021-07-13 08:11:18+00,bike,Intersection,,WALNUT ST,BEACON ST,773525.55,2955422.16,42.35700976,-71.06579601
2021-07-14 08:48:52+00,bike,Intersection,,D ST,BOLTON ST,777938.87,2949204.4,42.33988528,-71.0495894
2021-07-14 17:40:06+00,bike,Intersection,,DEVONSHIRE ST,STATE ST,775952.45,2956115.59,42.3588783,-71.05680381
2021-07-15 17:38:12+00,bike,Intersection,,ALFORD ST,MAIN ST,771298.48,2965530.93,42.38477917,-71.07384872
2021-07-18 21:16:32+00,bike,Street,NORFOLK ST,NELSON ST,WILLOWWOOD ST,768400.36,2928387.71,42.28273135,-71.08513007
2021-07-19 06:47:09+00,bike,Street,MASSACHUSETTS AVE,MAGAZINE ST,PROCTOR ST,773210.41,2944795.5,42.32765789,-71.06759156
2021-07-19 16:52:05+00,bike,Street,WASHINGTON ST,ATHERTON ST,BEETHOVEN ST,764602.78,2940272.08,42.31536606,-71.09871835
2021-07-20 17:16:48+00,bike,Street,WASHINGTON ST,BALDWIN PL,ARGUS PL,749633.96,2952392.56,42.34913255,-71.15423325
2021-07-20 19:45:14+00,bike,Intersection,,CENTRE ST,LAGRANGE ST,748670.12,2927498.1,42.28069502,-71.15816896
2021-07-24 10:40:59+00,bike,Intersection,,CLEARWAY ST,MASSACHUSETTS AVE,767860.6,2951186.65,42.34546463,-71.08683075
2021-07-26 11:05:33+00,bike,Intersection,,HILLSIDE ST,SACHEM ST,762935.31,2945900.63,42.33102362,-71.10514024
2021-07-27 10:03:37+00,bike,Intersection,,SUMMER ST,PAPPAS WAY,780800.32,2950783.41,42.34417617,-71.03897412
2021-07-27 17:46:27+00,bike,Intersection,,ARLINGTON ST,BEACON ST,771767.12,2954868.8,42.35551571,-71.072312
2021-07-27 17:47:48+00,bike,Intersection,,BEACON ST,MASSACHUSETTS AVE,767133.97,2953148.66,42.35085807,-71.08948367
2021-07-29 06:07:23+00,bike,Intersection,,MAIN ST,W SCHOOL ST,773488.92,2962545.17,42.37655591,-71.06579738
2021-07-30 10:02:26+00,bike,Intersection,,MASSACHUSETTS AVE,TREMONT ST,769599.41,2948958.31,42.33932671,-71.08043933
2021-08-01 15:09:45+00,bike,Intersection,,WASHINGTON ST,HARVARD AVE,770881.54,2934950.12,42.30087022,-71.0759547
2021-08-02 08:15:23+00,bike,Intersection,,DORCHESTER AVE,PARK ST,775029.79,2934156.24,42.29863416,-71.06063601
2021-08-02 10:39:33+00,bike,Intersection,,CLARENDON ST,NEWBURY ST,770887.17,2953397.16,42.35148956,-71.0755946
2021-08-02 17:06:54+00,bike,Intersection,,MARGINAL RD,TREMONT ST,773136.09,2952113.11,42.34793509,-71.06729902
2021-08-03 14:49:26+00,bike,Intersection,,STATE ST,JOHN F. FITZGERALD SURFACE RD,777129.87,2956361.41,42.35953596,-71.05244277
2021-08-04 15:18:36+00,bike,Intersection,,MASSACHUSETTS AVE,NEWBURY ST,767503.41,2952151.9,42.34811805,-71.08813477
