start station name,Average trip duration,station latitude,station longitude,bikes leaving
CambridgeSide Galleria - CambridgeSide PL at Land Blvd,763.204081632653,42.36707407,-71.07679278,441
Cary Square,432.0,42.39813565,-71.03070972,10
Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,1162.9737489745694,42.366426,-71.105495,1219
Central Square East Boston,595.2222222222222,42.37544913,-71.03918549,99
Central Square at Mass Ave / Essex St,785.6098360655737,42.36507,-71.1031,3050
Centre St at Commonwealth Ave,1184.6666666666667,42.3362358,-71.1934421,9
Centre St at Parkway YMCA,2918.090909090909,42.28277901,-71.15728851,11
Centre St at W. Roxbury Post Office,1030.0,42.28633199,-71.15344755,17
Centre St at Washington St,2365.0,42.35574335,-71.18641943,6
Charles Circle - Charles St at Cambridge St,906.2677329624479,42.36079297,-71.07118962,1438
Charlestown Navy Yard,1664.7401774397972,42.37412455,-71.054812,789
Chelsea Square,1867.4444444444443,42.39022671,-71.03857018,9
Chelsea St at Vine St,1021.578947368421,42.40328057,-71.0476264,57
Chelsea Station,5541.846153846154,42.39636528,-71.03987179,39
Child Street at Brian P. Murphy Staircase,959.6408602150537,42.37197678,-71.07200496,465
Chinatown Gate Plaza,2007.4860813704497,42.351356,-71.059367,467
Chinatown T Stop,1184.12,42.352408999999994,-71.062679,800
Christian Science Plaza - Massachusetts Ave at Westland Ave,1048.3080771979985,42.34366582,-71.08582377,1399
Circuit Drive at American Legion Hwy,1414.4347826086957,42.29704126,-71.09171927,23
Cleary Sq,1855.5,42.2556,-71.12444,2
Cleveland Circle,3005.1369047619046,42.33554308,-71.1506152,168
Clinton St at North St,12217.467032967033,42.36070284,-71.05524927,182
Codman Square Library,1721.1935483870968,42.2873611,-71.071111,31
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,8380.672289156626,42.34011512,-71.10061884,415
Columbia Rd at Ceylon St,1437.55,42.309572,-71.0729,20
Columbia Rd at Tierney Community Center,2874.3888888888887,42.330230709999995,-71.05060093,108
Columbus Ave at W. Canton St,719.8226351351351,42.34474225,-71.07648162,592
Commonwealth Ave At Babcock St,902.4639423076923,42.35154735,-71.12126246,416
Commonwealth Ave at Agganis Way,882.3593618807724,42.35169202,-71.11903489,1191
Commonwealth Ave at Chiswick Rd,1575.1530612244899,42.34024645,-71.15168806,98
Commonwealth Ave at Griggs St,965.7634854771784,42.34922469,-71.13275303,482
Commonwealth Ave at Kelton St,983.678391959799,42.34835863,-71.13997217,398
Community Life Center,1438.0,42.520136,-70.906271,1
Community Path at Cedar Street,662.139880952381,42.39407224,-71.11133695,336
Community Path at Lowell St,848.0150943396227,42.392525,-71.105587,265
Concord Ave at Spinelli Place,1360.3947368421052,42.390719,-71.1538877,38
Congress St at Boston City Hall,1322.6654275092937,42.36041775,-71.05752244,269
Congress St at Northern Ave,813.7228260869565,42.3481,-71.03764,368
Conway Park - Somerville Avenue,817.5770750988142,42.38363895,-71.10853671999999,253
Conway Park @ Bleachery Ct (Temp Winter Station),804.7807692307692,42.3834575,-71.1077106,260
Coolidge Corner - Beacon St at Centre St,1162.9175946547884,42.341598,-71.123338,449
Coolidge Sq.,9874.166666666666,42.37207611,-71.15683131,48
Copley Square - Dartmouth St at Boylston St,1273.0770659238626,42.34992828,-71.07739207,1077
Cross St at Hanover St,3623.6458087367178,42.362811,-71.056067,847
Curtis Hall - South St at Centre St,1373.7163120567375,42.309054,-71.11543,141
Cypress St at Clark Playground,1167.358208955224,42.32784317,-71.12536222,134
Dana Park,743.4138418079096,42.36178044,-71.10809952,708
Danehy Park,862.7832167832167,42.388966,-71.132788,143
Danehy Park at New Street,2395.0714285714284,42.389456,-71.139019,112
Dartmouth St at Newbury St,1133.796472184532,42.35096144,-71.07782811,737
Davis Square,1730.7922971114167,42.396969,-71.123024,727
Day Sq,911.0540540540541,42.379295,-71.027733,37
Deerfield St at Commonwealth Ave,1007.1059850374065,42.34924377,-71.0972821,802
Discovery Park - 30 Acorn Park Drive,911.995951417004,42.39790817,-71.14797131,247
Dorchester Ave at Gillette Park,2868.6944444444443,42.34404051,-71.05737627,252
Dudley Square - Bolling Building,946.5026455026455,42.32984299,-71.08386572,189
EF - North Point Park,893.7256637168142,42.369885,-71.069957,678
East Boston Neighborhood Health Center - 20 Maverick Square,369.02564102564105,42.369536,-71.039431,78
East Somerville Library (Broadway and Illinois),791.1904761904761,42.38762811,-71.08318716,84
Edgerly Education Center,1190.3516483516485,42.38717463,-71.08714389,182
Edwards Playground - Main St at Eden St,1167.4342105263158,42.378965,-71.068607,152
Egleston Square - Atherton St at Washington St,1071.7380952380952,42.315692,-71.098634,42
Encore,1304.0185185185185,42.39329263,-71.0724476,54
Essex St at Dalton Parkway,69565.64705882352,42.516223,-70.905535,17
Everett Square (Broadway at Chelsea St),3555.2727272727275,42.40743489,-71.05533242,22
Fan Pier,2836.25652173913,42.35339051,-71.0445714,230
Faneuil St at Arlington St,20655.418604651164,42.35276621,-71.15988486,43
Farragut Rd at E. 6th St,1164.5116279069769,42.3334,-71.02495,86
Flat 9 at Whittier,2092.74358974359,42.33420351,-71.08767617,39
Foley St at Grand Union Blvd,955.59375,42.3930184,-71.08071685,128
