end station name,Average trip duration,station latitude,station longitude,bikes entering
Charles Circle - Charles St at Cambridge St,1079.5939479239971,42.36079297,-71.07118962,1421
Charlestown Navy Yard,912.6734434561627,42.37412455,-71.054812,787
Chelsea Square,2905.5555555555557,42.39022671,-71.03857018,9
Chelsea St at Vine St,1138.304347826087,42.40328057,-71.0476264,69
Chelsea Station,6123.636363636364,42.39636528,-71.03987179,33
Child Street at Brian P. Murphy Staircase,1430.2567567567567,42.37197678,-71.07200496,444
Chinatown Gate Plaza,2005.4283018867925,42.351356,-71.059367,530
Chinatown T Stop,2670.8853427895983,42.352409,-71.062679,846
Christian Science Plaza - Massachusetts Ave at Westland Ave,1096.5346396081175,42.34366582,-71.08582377,1429
Circuit Drive at American Legion Hwy,2062.3076923076924,42.29704126,-71.09171927,13
Cleary Sq,8551.0,42.2556,-71.12444,1
Cleveland Circle,3956.1573033707864,42.33554308,-71.1506152,178
Clinton St at North St,1244.9282296650717,42.36070284,-71.05524927,209
Codman Square Library,11203.034482758621,42.2873611,-71.071111,29
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,1160.4560185185185,42.34011512,-71.10061884,432
Columbia Rd at Ceylon St,2534.9285714285716,42.309572,-71.0729,14
Columbia Rd at Tierney Community Center,1249.7169811320755,42.33023071,-71.05060093,106
Columbus Ave at W. Canton St,731.4096601073345,42.34474225,-71.07648162,559
Commonwealth Ave At Babcock St,801.4024390243902,42.35154735,-71.12126246,410
Commonwealth Ave at Agganis Way,972.4732069249794,42.35169202,-71.11903489,1213
Commonwealth Ave at Chiswick Rd,1356.8484848484848,42.34024645,-71.15168806,66
Commonwealth Ave at Griggs St,920.3964757709251,42.34922469,-71.13275303,454
Commonwealth Ave at Kelton St,2176.4656488549617,42.34835863,-71.13997217,262
Community Path at Cedar Street,701.1870967741935,42.39407224,-71.11133695,310
Community Path at Lowell St,1045.2025316455697,42.392525,-71.105587,237
Concord Ave at Spinelli Place,1340.8714285714286,42.390719,-71.1538877,70
Congress St at Boston City Hall,1072.5808580858086,42.36041775,-71.05752244,303
Congress St at Northern Ave,2691.146153846154,42.3481,-71.03764,390
Conway Park - Somerville Avenue,681.7875,42.38363895,-71.10853672,240
Conway Park @ Bleachery Ct (Temp Winter Station),835.4653846153847,42.3834575,-71.1077106,260
Coolidge Corner - Beacon St at Centre St,1570.5929203539822,42.341598,-71.123338,452
Coolidge Sq.,915.5102040816327,42.37207611,-71.15683131,49
Copley Square - Dartmouth St at Boylston St,873.6539039039039,42.34992828,-71.07739207,1332
Cross St at Hanover St,1742.9873853211009,42.362811,-71.056067,872
Curtis Hall - South St at Centre St,1276.7189542483661,42.309054,-71.11543,153
Cypress St at Clark Playground,5006.293577981652,42.32784317,-71.12536222,109
Dana Park,743.8878648233487,42.36178044,-71.10809952,651
Danehy Park,1685.36,42.388966,-71.132788,150
Danehy Park at New Street,1191.5350877192982,42.389456,-71.139019,114
Dartmouth St at Newbury St,938.6024242424243,42.35096143999999,-71.07782811,825
Davis Square,807.8556566970091,42.396969,-71.123024,769
Day Sq,1439.8918918918919,42.379295,-71.027733,37
Deerfield St at Commonwealth Ave,937.2955032119914,42.34924377,-71.0972821,934
Discovery Park - 30 Acorn Park Drive,865.3067226890756,42.39790817,-71.14797131,238
Dorchester Ave at Gillette Park,895.0836363636364,42.34404051,-71.05737627,275
Dudley Square - Bolling Building,1480.167741935484,42.32984299,-71.08386572,155
EF - North Point Park,871.8938053097345,42.369885,-71.069957,678
East Boston Neighborhood Health Center - 20 Maverick Square,285.6041666666667,42.369536,-71.039431,96
