start_station_name,Average_trip_duration,station_latitude,station_longitude,bikes_leaving
Christian Science Plaza - Massachusetts Ave at Westland Ave,1048.308077,42.34366582,-71.08582377,1399
Circuit Drive at American Legion Hwy,1414.434783,42.29704126,-71.09171927,23
Cleary Sq,1855.5,42.2556,-71.12444,2
Cleveland Circle,3005.136905,42.33554308,-71.1506152,168
Clinton St at North St,12217.46703,42.36070284,-71.05524927,182
Codman Square Library,1721.193548,42.2873611,-71.071111,31
Colleges of the Fenway - Fenway at Avenue Louis Pasteur,8380.672289,42.34011512,-71.10061884,415
Columbia Rd at Ceylon St,1437.55,42.309572,-71.0729,20
Columbia Rd at Tierney Community Center,2874.388889,42.33023071,-71.05060093,108
Columbus Ave at W. Canton St,719.8226351,42.34474225,-71.07648162,592
Commonwealth Ave At Babcock St,902.4639423,42.35154735,-71.12126246,416
Commonwealth Ave at Agganis Way,882.3593619,42.35169202,-71.11903489,1191
Commonwealth Ave at Chiswick Rd,1575.153061,42.34024645,-71.15168806,98
Commonwealth Ave at Griggs St,965.7634855,42.34922469,-71.13275303,482
Commonwealth Ave at Kelton St,983.678392,42.34835863,-71.13997217,398
Community Life Center,1438,42.520136,-70.906271,1
Community Path at Cedar Street,662.139881,42.39407224,-71.11133695,336
Community Path at Lowell St,848.0150943,42.392525,-71.105587,265
Concord Ave at Spinelli Place,1360.394737,42.390719,-71.1538877,38
Congress St at Boston City Hall,1322.665428,42.36041775,-71.05752244,269
Congress St at Northern Ave,813.7228261,42.3481,-71.03764,368
Conway Park - Somerville Avenue,817.5770751,42.38363895,-71.10853672,253
Conway Park @ Bleachery Ct (Temp Winter Station),804.7807692,42.3834575,-71.1077106,260
Coolidge Corner - Beacon St at Centre St,1162.917595,42.341598,-71.123338,449
Coolidge Sq.,9874.166667,42.37207611,-71.15683131,48
Copley Square - Dartmouth St at Boylston St,1273.077066,42.34992828,-71.07739207,1077
Cross St at Hanover St,3623.645809,42.362811,-71.056067,847
Curtis Hall - South St at Centre St,1373.716312,42.309054,-71.11543,141
Cypress St at Clark Playground,1167.358209,42.32784317,-71.12536222,134
Dana Park,743.4138418,42.36178044,-71.10809952,708
Danehy Park,862.7832168,42.388966,-71.132788,143
Danehy Park at New Street,2395.071429,42.389456,-71.139019,112
Dartmouth St at Newbury St,1133.796472,42.35096144,-71.07782811,737
Davis Square,1730.792297,42.396969,-71.123024,727
Day Sq,911.0540541,42.379295,-71.027733,37
Deerfield St at Commonwealth Ave,1007.105985,42.34924377,-71.0972821,802
Discovery Park - 30 Acorn Park Drive,911.9959514,42.39790817,-71.14797131,247
Dorchester Ave at Gillette Park,2868.694444,42.34404051,-71.05737627,252
Dudley Square - Bolling Building,946.5026455,42.32984299,-71.08386572,189
