start station id,start station name,start station latitude,start station longitude,tripduration
105,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,1131.533107
107,Ames St at Main St,42.3625,-71.08822,694.9820205
108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,1590.616995
109,West End Park,42.36590788,-71.06446669,983.6213992
110,Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025,2405.293395
111,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,2895.710843
114,Teele Square,42.4008795,-71.12590793,1916.728155
115,Porter Square Station,42.387995,-71.119084,718.6258741
116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,727.4353499
117,Binney St / Sixth St,42.36608797,-71.08633604,580.0127389
118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,696.4326425
119,South Boston Library - 646 E Broadway,42.335741,-71.03877,995.7363897
121,W Broadway at Dorchester St,42.33595898,-71.046229,1389.487047
124,Curtis Hall - South St at Centre St,42.309054,-71.11543,1373.716312
125,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,904.3677419
126,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,1071.738095
131,Jackson Square T Stop,42.32293117,-71.10014141,889.2761905
133,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,1082.373134
135,ID Building East,42.344827,-71.028664,831.9444444
136,ID Building West,42.344796,-71.031614,776.6842105
137,Magoun Square at Trum Field,42.3977834,-71.10594004,864.2020202
138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,3591.589928
139,Dana Park,42.36178044,-71.10809952,743.4138418
140,Danehy Park,42.388966,-71.132788,862.7832168
141,Kendall Street,42.36356016,-71.08216792,677.090625
142,Alewife Station at Russell Field,42.396105,-71.139459,1149.983871
143,EF - North Point Park,42.369885,-71.069957,893.7256637
144,Rogers St & Land Blvd,42.36644674,-71.07654601,974.5942029
145,Rindge Avenue - O'Neill Library,42.392766,-71.129042,1272.636905
146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,2611.657143
149,175 N Harvard St,42.363796,-71.129164,980.1986532
150,State Street at Channel Center,42.344137,-71.052608,688.3554913
151,Surface Rd at India St,42.358155,-71.052163,973.0272537
152,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,2550.959276
157,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,2286.630662
159,S Huntington Ave at Heath St,42.32760387,-71.1108917,803.221519
160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,1018.338129
161,W Broadway at D St,42.3391085,-71.0514432,787.3115672
162,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,1187.925
163,The Lawn on D,42.344792,-71.044024,822.9308756
169,Edwards Playground - Main St at Eden St,42.378965,-71.068607,1167.434211
170,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,1366.933333
171,Bunker Hill Community College,42.37408991,-71.06905997,837.9299065
173,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,1889.657143
174,Washington St at Brock St,42.34895285,-71.16031677,1509.15493
175,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,922.1333333
176,Lesley University,42.38674802,-71.11901879,699.4702842
177,University Park,42.36264779,-71.10006094,714.0755124
178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,669.7016848
179,MIT Vassar St,42.35560121,-71.10394478,669.9187228
180,Mt Auburn,42.37478629,-71.13320231,1039.117871
181,Huron Ave At Vassal Lane,42.38165061,-71.13426981,1174.311224
182,Museum of Science,42.36769018,-71.07116282,1207.071429
183,Alewife MBTA at Steel Place,42.39558846,-71.14260614,731.4763231
184,Sidney Research Campus/Erie Street at Waverly,42.35775309,-71.10393405,687.877193
185,Third at Binney,42.36544486,-71.08277142,809.7661431
186,Congress St at Northern Ave,42.3481,-71.03764,813.7228261
187,Cypress St at Clark Playground,42.32784317,-71.12536222,1167.358209
188,Foss Park,42.39108438,-71.09039426,1129.910615
189,Kendall T,42.36242784,-71.08495474,643.6316288
190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,1600.538153
191,Tappan St at Brookline Hills MBTA,42.33137017,-71.12688361,1066.087912
192,Purchase St at Pearl St,42.354659,-71.053181,2037.071429
193,Brookline Town Hall,42.33376473,-71.12046447,1453.093023
194,Broadway St at Mt Pleasant St,42.38614141,-71.0782814,729.9404255
195,Child Street at Brian P. Murphy Staircase,42.37197678,-71.07200496,959.6408602
196,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,2993.873239
197,MLK Blvd at Washington St,42.32143814,-71.09126061,1057.135417
200,Washington St at Melnea Cass Blvd,42.332817,-71.081198,674.3558719
201,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,1885.961538
202,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,4402.2
203,Columbia Rd at Ceylon St,42.309572,-71.0729,1437.55
205,Bowdoin St at Quincy St,42.30785224,-71.06512249,1814.323944
206,Government Center - Cambridge St at Court St,42.3598254,-71.05979576,1126.192701
208,Oak Square - 615 Washington St,42.35057,-71.166491,1091.384
210,Bennington St at Byron St,42.38353252,-71.01619095,1894.166667
212,Maverick Square - Lewis Mall,42.36884408,-71.03977829,956.9263158
